1.jpg originAngle =  : 6.133619853470385
2.jpg originAngle =  : 6.165450838813974
3.jpg originAngle =  : 3.5999566286632785
4.jpg originAngle =  : 3.7032990291142185
5.jpg originAngle =  : 4.936882937009502
6.jpg originAngle =  : 35.07375449334829
7.jpg originAngle =  : 36.405082987979796
8.jpg originAngle =  : 37.23483398157467
9.jpg originAngle =  : 41.62453481369713
10.jpg originAngle =  : -30.56083926737154
11.jpg originAngle =  : 3.6717000983707058
12.jpg originAngle =  : 2.0122671952654203
13.jpg originAngle =  : 1.222124584615314
14.jpg originAngle =  : -0.14998860898745797
15.jpg originAngle =  : 0.0
16.jpg originAngle =  : -0.15238203303958062
17.jpg originAngle =  : -1.2092300223533636
18.jpg originAngle =  : 2.5481308881415154
19.jpg originAngle =  : 1.0525599416940974
20.jpg originAngle =  : 1.9491041598173389
21.jpg originAngle =  : 2.581880295259552
22.jpg originAngle =  : 4.548042409125415
23.jpg originAngle =  : 1.9251837083231549
24.jpg originAngle =  : 2.1905738640382233
25.jpg originAngle =  : 1.123302714075429
26.jpg originAngle =  : -39.06961440253399
27.jpg originAngle =  : 42.67218491095885
28.jpg originAngle =  : 39.128820203672035
29.jpg originAngle =  : 36.70109743700091
30.jpg originAngle =  : 38.32464014644096
31.jpg originAngle =  : 40.02331432895243
32.jpg originAngle =  : 44.92549317657071
33.jpg originAngle =  : -32.03696852986359
34.jpg originAngle =  : -33.067762748762
35.jpg originAngle =  : -36.51249098913294
36.jpg originAngle =  : -36.62281627589436
37.jpg originAngle =  : -36.51249098913294
38.jpg originAngle =  : -36.62281627589436
