7.jpg originAngle =  : -54.364492286853675
8.jpg originAngle =  : -82.80652994470447
9.jpg originAngle =  : 31.04549082686316
10.jpg originAngle =  : 84.11401216697169
11.jpg originAngle =  : 14.103295256524195
12.jpg originAngle =  : 56.4889812021592
13.jpg originAngle =  : 3.831051361056692
14.jpg originAngle =  : -34.53466157139935
15.jpg originAngle =  : -28.237445538167254
16.jpg originAngle =  : 6.9272181260091665
17.jpg originAngle =  : 61.59475356652923
18.jpg originAngle =  : 29.38720647688979
19.jpg originAngle =  : 31.39945748334126
20.jpg originAngle =  : -15.533038354038368
21.jpg originAngle =  : -33.62185829687748
22.jpg originAngle =  : -82.11686068327023
27.jpg originAngle =  : 14.03624346792648
28.jpg originAngle =  : -83.5956472736159
29.jpg originAngle =  : -20.5273686556551
30.jpg originAngle =  : -31.207863671388246
31.jpg originAngle =  : -34.579287603205486
32.jpg originAngle =  : 19.930412686805642
33.jpg originAngle =  : 81.34244852283412
34.jpg originAngle =  : 71.48401052459653
35.jpg originAngle =  : 10.807140796488095
36.jpg originAngle =  : 10.807140796488095
37.jpg originAngle =  : 10.927008988977734
38.jpg originAngle =  : 10.927008988977734
